"Guid","SamplingTime","GXCAI_CAL33","GXCAI_CAL35","GXCAI_CAL37","GXCAI_CAL45","GXCAI_CAL46","PDJAI_CAL10","PDJAI_CAL11","PDJAI_CAL12","PDJAI_CAL7","PDJAI_CAL8","PDJAI_CAL9","PredictJYJAI_CAL5","PredictJYJAI_CAL6","PredictJYJAI_CAL7","TrueJYJAI_CAL5","TrueJYJAI_CAL6","TrueJYJAI_CAL7","TrueDate","TrueInputUserName","TrueIP","Notes"
"32","2023/4/25 21:50:27","18.599","19.657","0.431","288.743","2.475","0.52","0.258","12.454","1.747","6.825","10.925","","","","31.022","1.075","0.762","","","",""
"33","2023/4/25 21:50:50","18.245","19.704","0.49","288.782","2.474","0.52","0.258","12.455","1.729","6.826","10.925","","","","31.056","1.075","0.762","","","",""
"34","2023/4/25 22:00:47","16.773","19.693","0.345","288.733","2.473","0.52","0.259","12.457","1.737","6.826","10.927","","","","31.022","1.075","0.762","","","",""
"35","2023/4/25 22:15:25","41.506","19.698","0.515","288.714","2.476","0.52","0.275","12.454","4.795","6.823","10.921","","","","31.022","1.075","0.762","","","",""
"36","2023/4/25 22:30:10","29.905","19.685","1.51","288.733","2.481","0.52","0.275","12.453","3.354","6.823","10.923","","","","31.022","1.075","0.762","","","",""
"37","2023/4/25 22:45:29","33.085","19.712","1.247","288.635","2.482","0.521","0.275","12.454","2.508","6.818","10.933","","","","31.022","1.075","0.762","","","",""
"38","2023/4/25 23:00:25","18.186","20.563","1.294","288.851","2.479","0.52","0.275","12.456","3.829","6.831","10.927","","","","31.022","1.075","0.762","","","",""
"39","2023/4/25 23:15:12","21.543","20.584","1.391","288.714","2.483","0.708","0.275","12.453","3.421","6.824","10.933","","","","31.022","1.075","0.762","","","",""
"40","2023/4/25 23:30:50","22.78","20.59","1.476","288.714","2.477","0.708","0.275","12.422","2.717","6.806","12.808","","","","31.022","1.075","0.762","","","",""
"41","2023/4/25 23:46:05","10.649","20.586","1.375","288.753","2.559","0.708","0.275","12.432","2.382","6.815","12.788","","","","31.022","1.075","0.762","","","",""
"42","2023/4/26 00:00:25","20.895","20.572","1.434","288.871","2.552","0.707","0.275","12.428","2.179","6.809","12.794","","","","31.022","1.075","0.762","","","",""
"43","2023/4/26 00:15:25","23.015","20.588","1.382","288.772","2.551","0.708","0.295","12.429","2.158","6.806","12.784","","","","31.022","1.075","0.762","","","",""
"44","2023/4/26 00:30:57","11.827","20.606","0.82","288.861","2.55","0.707","0.294","12.425","2.111","6.821","12.802","","","","31.022","1.075","0.762","","","",""
"45","2023/4/26 00:45:21","12.945","20.565","0.771","288.822","2.548","0.708","0.295","12.425","2.152","6.814","12.792","","","","31.022","1.075","0.762","","","",""
"46","2023/4/26 01:01:07","12.416","21.578","0.615","288.812","2.547","0.708","0.295","12.428","2.338","6.823","12.794","","","","31.022","1.075","0.762","","","",""
"47","2023/4/26 01:16:05","17.421","21.683","0.784","288.871","2.557","1.063","0.295","12.425","2.354","6.828","12.796","","","","31.022","1.075","0.762","","","",""
"48","2023/4/26 01:30:54","12.887","21.626","0.886","283.581","2.552","1.063","0.295","13.028","2.303","6.828","11.622","","","","31.094","1.075","0.762","","","",""
